"state","freq"
"AK",293.742888089492
"AL",283.332474110026
"AR",287.29164671014
"AZ",311.586848064461
"CA",310.109707848959
"CO",320.334713442232
"CT",303.000102873263
"DE",288.651610912053
"FL",290.126985592465
"GA",288.489211903029
"HI",282.467656386578
"IA",299.166459692094
"ID",308.53929591013
"IL",288.783085115774
"IN",296.199505995932
"KS",296.608423805622
"KY",297.066769965624
"LA",268.369884660204
"MA",297.303677170219
"MD",299.609818335757
"ME",298.795448902166
"MI",283.969066729838
"MN",310.053062963283
"MO",296.687901912723
"MS",279.43469216228
"MT",324.575028615255
"NC",301.099357079212
"ND",294.967623510367
"NE",289.449969132071
"NH",297.681284397813
"NJ",292.237608008466
"NM",303.382141101975
"NV",317.27437808825
"NY",293.184661339807
"OH",294.164419355765
"OK",294.228276999892
"OR",317.950919677234
"PA",296.143789150609
"RI",299.310997683812
"SC",287.566154717135
"SD",297.203112644819
"TN",298.765686304282
"TX",274.5747408863
"UT",330.222532072265
"VA",302.81615488274
"VT",298.122426219937
"WA",312.486612422475
"WI",296.881177101226
"WV",306.153786738994
"WY",292.280099209228
